Identifier	Database
HMDB00121	HMDB
HMDB01056	HMDB
1.5.1.3	Enzyme Nomenclature
91443	PubChem-compound
1.5.1.3	Enzyme Nomenclature
CHEBI:4581	ChEBI
6.3.2.17	Enzyme Nomenclature
6.3.2.12	Enzyme Nomenclature
C00568	KEGG Compound
CHEBI:57602	ChEBI
2.5.1.15	Enzyme Nomenclature
CHEBI:35181	ChEBI
4.1.3.38	Enzyme Nomenclature
HMDB12199	HMDB
2.6.1.85	Enzyme Nomenclature
